"Kod";"Nazwa";"Kierunki inwestowania";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2019";74112,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2020";79112,6;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2021";86874,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2022";43809,3;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2023";;"tys. zł";"n";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2000";74601,1;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2001";64477,9;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2002";44251,7;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2003";14109,8;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2004";46408,5;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2005";25753,7;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2006";40471,7;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2007";36734,9;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2008";36193,9;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2009";43969,1;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2010";103258,1;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2011";100237,6;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2012";90935,3;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2013";20996,8;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2014";71333,3;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2015";116437,8;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2016";199176,8;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2017";111554,7;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";56220,9;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2019";51253,8;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2020";103718,0;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2021";100732,9;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2022";121316,3;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2023";;"tys. zł";"n";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2000";38865,4;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2001";26433,9;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2002";32402,1;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2003";11770,9;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2004";42953,7;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2005";12342,9;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2006";22983,4;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2007";10455,1;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2008";18428,3;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2009";9700,2;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2010";46072,9;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2011";57979,6;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2012";36416,6;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2013";13411,1;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2014";23328,2;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2015";15253,5;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2016";20710,7;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2017";13354,3;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2018";28593,3;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2019";17016,6;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2020";25939,3;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2021";56603,3;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2022";92414,4;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom razem";"2023";;"tys. zł";"n";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2000";37348,0;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2001";21144,8;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2002";27398,1;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2003";10847,2;"tys. zł";"";
0400000;"KUJAWSKO-POMORSKIE";"zapobieganie zanieczyszczeniom - nowe techniki i technologie spalania paliw";"2004";40754,5;"tys. zł";"";
