Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wska?nik;Czas u?redniania;?rednia;Min;Max;L. dni > 120 (S8max);26 maks (S8max);Per. S93.2 (S8max);AOT40 V-VII;SOMO35;Liczba pomiarów;Kompl. lato;Kompl. zima;Liczba kompletnych mies. letnich (IV-IX);Kompletno??;Liczba Lato/Zima
(-);(-);(-);(-);(-);(-);(-);[µg/m3];[µg/m3];[µg/m3];(-);[µg/m3];[µg/m3];[µg/m3]*h;[µg/m3]*d;(-);[%];[%];(-);[%];(-)
2016;dolno?l?skie;PL0204;strefa dolno?l?ska;DsJelGorOgin;O3;1g;47,9;0,0;153,4;26;121,3;121,3;19 662;5 080;8 704;99,0;100,0;6;99,1;1,0
2016;dolno?l?skie;PL0204;strefa dolno?l?ska;DsKlodzSzkol;O3;1g;45,2;0,0;146,9;24;119,5;120,3;14 834;4 750;8 599;99,0;97,0;6;97,9;1,0
2016;dolno?l?skie;PL0202;miasto Legnica;DsLegAlRzecz;O3;1g;42,9;0,0;156,3;15;110,8;111,0;13 426;3 662;8 429;98,0;94,0;5;96,0;1,1
2016;dolno?l?skie;PL0204;strefa dolno?l?ska;DsOsieczow21;O3;1g;45,5;0,0;159,3;15;115,6;115,6;14 146;4 477;8 665;99,0;99,0;6;98,6;1,0
2016;dolno?l?skie;PL0204;strefa dolno?l?ska;DsPolanSportMOB;O3;1g;46,2;0,0;147,9;13;112,1;112,9;15 270;4 397;8 327;90,0;99,0;5;94,8;0,9
2016;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSniezkaObs;O3;1g;77,3;1,8;149,0;23;120,1;120,1;14 871;6 749;8 773;100,0;100,0;6;99,9;1,0
2016;dolno?l?skie;PL0204;strefa dolno?l?ska;DsSzkPor1MajMOB;O3;1g;62,8;0,0;158,9;31;123,8;125,2;21 190;6 741;7 871;98,0;82,0;6;89,6;1,2
2016;dolno?l?skie;PL0203;miasto Wa?brzych;DsWalbrzWyso;O3;1g;49,7;0,5;147,5;11;114,6;115,1;13 465;4 128;8 637;98,0;99,0;6;98,3;1,0
2016;dolno?l?skie;PL0201;Aglomeracja Wroc?awska;DsWrocBartni;O3;1g;43,9;0,0;153,7;14;115,3;115,7;17 626;4 352;8 610;97,0;99,0;5;98,0;1,0
2016;dolno?l?skie;PL0201;Aglomeracja Wroc?awska;DsWrocWybCon;O3;1g;44,5;0,0;153,6;21;117,3;117,3;18 346;4 398;8 697;99,0;99,0;6;99,0;1,0
2016;kujawsko-pomorskie;PL0401;Aglomeracja Bydgoska;KpBydWarszaw;O3;1g;40,3;0,0;147,0;7;105,9;106,0;10 459;2 804;8 621;99,0;97,0;6;98,1;1,0
2016;kujawsko-pomorskie;PL0404;strefa kujawsko - pomorska;KpCiechTezni;O3;1g;47,5;0,0;151,0;10;112,6;112,6;15 337;3 854;8 562;95,0;100,0;4;97,5;1,0
